blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M045,0.374449,0.212169,0.177675,0.148551,0.148551,0.278591,0.057659,0.316620,0.215600,0.148551,0.440666,0.264605,0.148551,0.148551,0.108661,0.273952,0.323392,0.372213,0.471467,0.586032,0.276798,0.391079,0.535860,0.188219,0.131188,0.397788,0.034589,0.084649,0.093348,0.094630,0.069679,0.343942,0.148551,0.136997,0.118181,0.000000,0.572282,0.148551,0.081306,0.055551,0.051264,0.108076,0.286438,0.646072,0.148551,0.297055,0.266906,0.033524,0.055671,0.042023,0.148551,0.148551,0.148551,0.148551,0.148551,0.148551,0.148551,0.148551,0.148551,0.148551,0.201555,0.294753,0.041631
M046,0.327552,0.360114,0.439061,0.464776,0.464776,0.293691,0.568532,0.466245,0.356682,0.464776,0.599951,0.361587,0.464776,0.464776,0.463622,0.592583,0.614341,0.354526,0.348576,0.464825,0.612199,0.266503,0.922841,0.384064,0.441094,0.700249,0.568017,0.487633,0.482303,0.526508,0.507657,0.228340,0.464776,0.435286,0.558550,0.572282,0.000000,0.464776,0.574709,0.543992,0.562063,0.484422,0.338490,0.259919,0.464776,0.399892,0.369393,0.538759,0.602812,0.577243,0.464776,0.464776,0.464776,0.464776,0.464776,0.464776,0.464776,0.464776,0.464776,0.464776,0.434744,0.392086,0.530651
M047,0.225898,0.125585,0.174614,0.000000,0.000000,0.171084,0.103757,0.168069,0.108093,0.000000,0.301289,0.116054,0.000000,0.000000,0.065232,0.168214,0.222841,0.244786,0.363961,0.437481,0.185585,0.283573,0.502480,0.080712,0.086535,0.340978,0.113962,0.087181,0.055203,0.061732,0.078872,0.236436,0.000000,0.078875,0.093774,0.148551,0.464776,0.000000,0.178936,0.093000,0.097287,0.042309,0.137887,0.497520,0.000000,0.148504,0.118355,0.141982,0.138037,0.190574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053004,0.146202,0.110289
M049,0.386915,0.214596,0.135649,0.178936,0.178936,0.350020,0.075179,0.329086,0.287029,0.178936,0.453132,0.282125,0.178936,0.178936,0.180090,0.286418,0.335858,0.315676,0.542896,0.598498,0.289264,0.462508,0.607289,0.259648,0.202617,0.403374,0.075694,0.156078,0.161408,0.117204,0.136054,0.415371,0.178936,0.208426,0.130647,0.081306,0.574709,0.178936,0.000000,0.099720,0.081648,0.159290,0.253470,0.590799,0.178936,0.309521,0.279373,0.104953,0.054376,0.109568,0.178936,0.178936,0.178936,0.178936,0.178936,0.178936,0.178936,0.178936,0.178936,0.178936,0.214021,0.307219,0.113060
M050,0.318898,0.183878,0.122124,0.093000,0.093000,0.250301,0.024541,0.261068,0.187310,0.093000,0.385114,0.209053,0.093000,0.093000,0.080370,0.218401,0.267841,0.316661,0.443177,0.530480,0.221872,0.362789,0.507570,0.159928,0.102897,0.377265,0.024026,0.056359,0.061688,0.039078,0.036335,0.315652,0.093000,0.108706,0.062630,0.055551,0.543992,0.093000,0.099720,0.000000,0.018071,0.059570,0.230886,0.590520,0.093000,0.241504,0.211355,0.048982,0.058820,0.097574,0.093000,0.093000,0.093000,0.093000,0.093000,0.093000,0.093000,0.093000,0.093000,0.093000,0.146004,0.239202,0.023544
M051,0.323185,0.201949,0.126411,0.097287,0.097287,0.268372,0.009898,0.265356,0.205381,0.097287,0.389402,0.213341,0.097287,0.097287,0.098441,0.222689,0.272128,0.320949,0.461248,0.534768,0.225535,0.380860,0.525641,0.177999,0.120969,0.366541,0.016675,0.074430,0.079760,0.043366,0.054406,0.333723,0.097287,0.126777,0.066917,0.051264,0.562063,0.097287,0.081648,0.018071,0.000000,0.077641,0.235174,0.594808,0.097287,0.245791,0.215643,0.052201,0.040749,0.093287,0.097287,0.097287,0.097287,0.097287,0.097287,0.097287,0.097287,0.097287,0.097287,0.097287,0.150291,0.243489,0.034269
M052,0.266372,0.124308,0.154968,0.042309,0.042309,0.190731,0.084111,0.208543,0.127740,0.042309,0.343598,0.156528,0.042309,0.042309,0.022922,0.210523,0.265150,0.287095,0.383607,0.477955,0.227895,0.303219,0.462005,0.100358,0.044225,0.383287,0.083596,0.046706,0.014728,0.042086,0.038397,0.256082,0.042309,0.049136,0.074128,0.108076,0.484422,0.042309,0.159290,0.059570,0.077641,0.000000,0.178361,0.537995,0.042309,0.188978,0.158830,0.101507,0.118390,0.150099,0.042309,0.042309,0.042309,0.042309,0.042309,0.042309,0.042309,0.042309,0.042309,0.042309,0.093479,0.186677,0.069814
M053,0.139763,0.144040,0.257340,0.137887,0.137887,0.096551,0.230042,0.146611,0.107900,0.137887,0.344967,0.029919,0.137887,0.137887,0.187272,0.254093,0.275850,0.318375,0.289427,0.351346,0.273709,0.209039,0.640366,0.126858,0.192312,0.384655,0.251849,0.225067,0.193089,0.191808,0.216759,0.161902,0.137887,0.176396,0.220060,0.286438,0.338490,0.137887,0.253470,0.230886,0.235174,0.178361,0.000000,0.359634,0.137887,0.080258,0.033596,0.279869,0.264322,0.328461,0.137887,0.137887,0.137887,0.137887,0.137887,0.137887,0.137887,0.137887,0.137887,0.137887,0.096254,0.072452,0.248176
M054,0.418399,0.464290,0.468397,0.497520,0.497520,0.423677,0.588413,0.482334,0.467534,0.497520,0.648029,0.381467,0.497520,0.497520,0.546906,0.608673,0.630430,0.370616,0.573117,0.629982,0.628289,0.492729,1.000000,0.486492,0.551946,0.716339,0.611483,0.584701,0.552723,0.551442,0.576393,0.445592,0.497520,0.536029,0.574640,0.646072,0.259919,0.497520,0.590799,0.590520,0.594808,0.537995,0.359634,0.000000,0.497520,0.415982,0.385483,0.639502,0.618902,0.688095,0.497520,0.497520,0.497520,0.497520,0.497520,0.497520,0.497520,0.497520,0.497520,0.497520,0.450834,0.408176,0.607810
M055,0.225898,0.125585,0.174614,0.000000,0.000000,0.171084,0.103757,0.168069,0.108093,0.000000,0.301289,0.116054,0.000000,0.000000,0.065232,0.168214,0.222841,0.244786,0.363961,0.437481,0.185585,0.283573,0.502480,0.080712,0.086535,0.340978,0.113962,0.087181,0.055203,0.061732,0.078872,0.236436,0.000000,0.078875,0.093774,0.148551,0.464776,0.000000,0.178936,0.093000,0.097287,0.042309,0.137887,0.497520,0.000000,0.148504,0.118355,0.141982,0.138037,0.190574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053004,0.146202,0.110289
M056,0.077394,0.206408,0.319709,0.148504,0.148504,0.116976,0.239396,0.066353,0.124022,0.148504,0.264708,0.054468,0.148504,0.148504,0.197890,0.192691,0.214448,0.308724,0.299077,0.288977,0.212307,0.218689,0.650983,0.137475,0.202929,0.304397,0.262466,0.235684,0.203707,0.202425,0.227376,0.171552,0.148504,0.187013,0.178874,0.297055,0.399892,0.148504,0.309521,0.241504,0.245791,0.188978,0.080258,0.415982,0.148504,0.000000,0.046662,0.290486,0.255145,0.339078,0.148504,0.148504,0.148504,0.148504,0.148504,0.148504,0.148504,0.148504,0.148504,0.148504,0.095500,0.007806,0.258793
