blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M029,0.435859,0.541608,0.579499,0.470865,0.403962,0.484620,0.589677,0.835173,0.809150,0.698383,0.520762,0.858944,0.787082,0.833604,0.557063,0.739201,0.608316,0.563153,0.491801,0.546083,0.000000,0.286434,0.476131,0.368899,0.524873,0.470222,0.389805,0.429026,0.415564,0.442520,0.516514,0.605634,0.430359,0.531713,0.533698,0.503445,0.503418,0.585484,0.620968,0.646503,0.521369,0.580340,0.440994,0.355868,0.378934,0.800062,0.811074,0.706111,0.655760,0.640929,0.511200,0.504351,0.504351,0.494889,0.442310,0.519240,0.515733,0.760489,0.498859,0.501307,0.782692,0.703573,0.628694
M030,0.457481,0.500500,0.570563,0.506818,0.464629,0.560349,0.595565,0.760773,0.686253,0.638933,0.442208,0.784159,0.649949,0.710111,0.529158,0.685050,0.566651,0.549535,0.528559,0.619439,0.286434,0.000000,0.592472,0.424528,0.611170,0.385213,0.343585,0.334246,0.240349,0.331149,0.661227,0.624614,0.552950,0.461695,0.455144,0.543681,0.534022,0.532867,0.603483,0.536996,0.437393,0.516014,0.421700,0.409374,0.490013,0.779134,0.779934,0.638347,0.587996,0.623235,0.449718,0.442869,0.442869,0.433407,0.494908,0.457758,0.454251,0.712723,0.437377,0.439825,0.730625,0.616238,0.570427
M031,0.336490,0.544634,0.416130,0.457336,0.363537,0.536636,0.441546,0.778323,0.766148,0.637524,0.419140,0.864082,0.909420,0.852459,0.776554,0.626917,0.506950,0.512291,0.279332,0.241234,0.476131,0.592472,0.000000,0.236214,0.195945,0.424387,0.321065,0.372761,0.492918,0.581014,0.141027,0.571928,0.243842,0.430092,0.432077,0.391431,0.285310,0.499338,0.454261,0.615138,0.648958,0.531471,0.379969,0.373023,0.327432,0.651248,0.683765,0.699125,0.646912,0.607552,0.358362,0.353036,0.353036,0.376195,0.374315,0.400546,0.405575,0.609880,0.363093,0.356079,0.754340,0.612201,0.612094
M032,0.362046,0.453438,0.422176,0.394279,0.281554,0.516075,0.481544,0.726636,0.681623,0.535034,0.378467,0.796760,0.818781,0.759942,0.630497,0.620212,0.476711,0.476120,0.323551,0.241268,0.368899,0.424528,0.236214,0.000000,0.190514,0.301313,0.196250,0.228253,0.358000,0.478128,0.249916,0.542739,0.238700,0.389418,0.391403,0.411224,0.309951,0.450296,0.489789,0.522470,0.505366,0.451457,0.333903,0.301492,0.223753,0.671804,0.704321,0.674826,0.635854,0.584592,0.360369,0.353520,0.353520,0.344058,0.340943,0.368409,0.364902,0.637902,0.348028,0.350476,0.750430,0.582081,0.590791
M033,0.429324,0.585959,0.479009,0.476643,0.359616,0.594055,0.489433,0.802995,0.799806,0.644541,0.475719,0.897740,0.958930,0.877131,0.817078,0.692933,0.570836,0.590576,0.385613,0.158909,0.524873,0.611170,0.195945,0.190514,0.000000,0.420232,0.329515,0.353179,0.501742,0.636447,0.167911,0.635691,0.292943,0.486671,0.488656,0.453581,0.350270,0.547681,0.559078,0.642805,0.673629,0.566912,0.444487,0.427772,0.308977,0.734739,0.774703,0.789283,0.750311,0.695324,0.414942,0.408093,0.408093,0.432775,0.433275,0.457126,0.462155,0.711860,0.419673,0.405049,0.845718,0.696537,0.703834
M034,0.287217,0.375639,0.375687,0.309335,0.313646,0.467224,0.429639,0.562459,0.499667,0.382898,0.216454,0.553877,0.632398,0.528908,0.553122,0.463807,0.354480,0.390900,0.295095,0.382237,0.470222,0.385213,0.424387,0.301313,0.420232,0.000000,0.141627,0.118955,0.264483,0.355621,0.478215,0.348928,0.301898,0.220722,0.214171,0.295566,0.227866,0.355458,0.366582,0.387204,0.385167,0.309707,0.259892,0.347580,0.288152,0.501490,0.529195,0.431279,0.399612,0.425776,0.277232,0.284081,0.284081,0.259399,0.408907,0.235048,0.230019,0.481840,0.272501,0.287124,0.586919,0.412937,0.350070
M035,0.316515,0.389941,0.393907,0.367825,0.309005,0.511737,0.493000,0.657129,0.585953,0.444643,0.301398,0.662635,0.661806,0.587511,0.564428,0.559621,0.421678,0.466451,0.324522,0.342825,0.389805,0.343585,0.321065,0.196250,0.329515,0.141627,0.000000,0.116278,0.260708,0.372433,0.379572,0.456138,0.278696,0.320886,0.314335,0.352066,0.279113,0.405148,0.452295,0.462002,0.423305,0.397741,0.268856,0.311563,0.244962,0.631341,0.655322,0.560022,0.521050,0.501032,0.340869,0.347718,0.347718,0.323036,0.410915,0.316948,0.313441,0.592479,0.336138,0.350762,0.697559,0.527448,0.478813
M036,0.293476,0.363261,0.368687,0.321474,0.302068,0.449443,0.437489,0.601424,0.511970,0.418425,0.234941,0.598328,0.644164,0.556138,0.515866,0.496422,0.366096,0.400214,0.301181,0.388668,0.429026,0.334246,0.372761,0.228253,0.353179,0.118955,0.116278,0.000000,0.198244,0.330395,0.414886,0.409845,0.316731,0.250161,0.247878,0.340206,0.217453,0.338911,0.397348,0.388556,0.351732,0.319490,0.242064,0.322479,0.274426,0.550055,0.585752,0.508765,0.465379,0.465595,0.281559,0.288407,0.288407,0.263726,0.388884,0.246223,0.242716,0.518495,0.276828,0.291451,0.623575,0.457878,0.423317
M037,0.341116,0.382998,0.433863,0.429365,0.401143,0.497182,0.537524,0.614445,0.555707,0.515552,0.302642,0.650885,0.592556,0.609081,0.424715,0.545973,0.415101,0.417009,0.424874,0.552537,0.415564,0.240349,0.492918,0.358000,0.501742,0.264483,0.260708,0.198244,0.000000,0.188837,0.557623,0.493607,0.468060,0.322129,0.315578,0.361721,0.369294,0.393898,0.454299,0.396456,0.321641,0.376340,0.319392,0.376734,0.438789,0.658917,0.690819,0.563471,0.511258,0.524852,0.357332,0.364180,0.364180,0.339499,0.420888,0.318192,0.314685,0.597251,0.352600,0.367224,0.640539,0.537176,0.487965
M038,0.328388,0.395931,0.402458,0.511945,0.519752,0.493814,0.595061,0.621204,0.551349,0.546510,0.332208,0.649452,0.538819,0.562380,0.443237,0.515355,0.443509,0.387878,0.470428,0.623811,0.442520,0.331149,0.581014,0.478128,0.636447,0.355621,0.372433,0.330395,0.188837,0.000000,0.631447,0.529628,0.535583,0.347129,0.340578,0.325867,0.426763,0.367028,0.401327,0.399793,0.305448,0.335234,0.348096,0.387233,0.571194,0.633011,0.655672,0.464606,0.416995,0.422911,0.392985,0.399834,0.399834,0.375152,0.400756,0.350801,0.345772,0.527409,0.388254,0.402878,0.531233,0.457775,0.416584
M039,0.404619,0.635214,0.491061,0.526597,0.418492,0.585229,0.510503,0.860978,0.848802,0.702524,0.501794,0.946736,1.000000,0.935113,0.867135,0.709571,0.589604,0.584449,0.371302,0.264632,0.516514,0.661227,0.141027,0.249916,0.167911,0.478215,0.379572,0.414886,0.557623,0.631447,0.000000,0.663888,0.269322,0.512746,0.514731,0.450153,0.322626,0.573165,0.531434,0.697792,0.731612,0.608240,0.462624,0.463603,0.379446,0.718666,0.754907,0.761638,0.722666,0.667680,0.441017,0.434168,0.434168,0.458849,0.425576,0.483200,0.488229,0.692064,0.445748,0.431124,0.818073,0.704160,0.676190
