blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M056,0.353671,0.487366,0.207225,0.273995,0.485473,0.528721,0.383862,0.604909,0.646089,0.507011,0.259955,0.561312,0.797671,0.718768,0.749535,0.510498,0.285390,0.316395,0.227268,0.412702,0.465532,0.425028,0.219369,0.531892,0.475735,0.239483,0.345809,0.414907,0.422414,0.394029,0.283015,0.407727,0.312438,0.259955,0.259955,0.585959,0.357577,0.209269,0.209111,0.384987,0.245754,0.266727,0.369572,0.602486,0.310598,0.000000,0.142834,0.384602,0.540785,0.431783,0.259955,0.259955,0.259955,0.259955,0.454390,0.259955,0.259955,0.253035,0.259955,0.259955,0.162386,0.193279,0.501456
M057,0.458727,0.570395,0.294379,0.310082,0.602082,0.638939,0.468508,0.700203,0.701871,0.541701,0.368165,0.601735,0.869273,0.790370,0.821136,0.574190,0.314536,0.377238,0.238724,0.459792,0.542115,0.508774,0.289683,0.592225,0.497493,0.229505,0.463120,0.476165,0.528618,0.485651,0.387388,0.463560,0.388567,0.368165,0.368165,0.672486,0.398897,0.304248,0.314398,0.465313,0.342446,0.321466,0.479790,0.705379,0.422045,0.142834,0.000000,0.347763,0.596106,0.460130,0.368165,0.368165,0.368165,0.368165,0.529691,0.368165,0.368165,0.328745,0.368165,0.368165,0.197153,0.223415,0.580208
M058,0.485495,0.660836,0.509632,0.453192,0.656931,0.668795,0.621280,0.775503,0.743625,0.645791,0.445371,0.733697,0.898558,0.876036,0.867414,0.697016,0.523801,0.525822,0.375389,0.633078,0.653177,0.524945,0.452834,0.585350,0.614828,0.343534,0.527611,0.478357,0.518661,0.495122,0.561647,0.575326,0.467371,0.445371,0.445371,0.597136,0.327682,0.420727,0.416124,0.535036,0.453144,0.413972,0.513193,0.722225,0.518156,0.384602,0.347763,0.000000,0.319073,0.218865,0.445371,0.445371,0.445371,0.445371,0.561271,0.445371,0.445371,0.399905,0.445371,0.445371,0.274734,0.370641,0.346743
M059,0.434887,0.559903,0.555556,0.579174,0.601573,0.525490,0.593541,0.551184,0.512273,0.511682,0.394354,0.576943,0.642599,0.659059,0.629348,0.532549,0.521607,0.459662,0.618756,0.737027,0.647602,0.432623,0.632295,0.503870,0.725147,0.502203,0.484273,0.431479,0.465238,0.467089,0.626438,0.685163,0.437426,0.394354,0.394354,0.420939,0.273647,0.436038,0.453006,0.420461,0.430448,0.431794,0.458305,0.680096,0.502746,0.540785,0.596106,0.319073,0.000000,0.209336,0.394354,0.394354,0.394354,0.394354,0.473707,0.394354,0.394354,0.475237,0.394354,0.394354,0.491384,0.436171,0.156136
M060,0.436973,0.559837,0.501253,0.486772,0.634661,0.508596,0.530915,0.627775,0.552658,0.541892,0.401900,0.608391,0.717302,0.717239,0.694720,0.575893,0.496515,0.473157,0.490390,0.692034,0.608861,0.480965,0.530952,0.520491,0.701743,0.373855,0.511100,0.421128,0.512749,0.503226,0.579142,0.562346,0.440560,0.401900,0.401900,0.437567,0.230853,0.401106,0.432426,0.480649,0.451530,0.398775,0.495211,0.705155,0.502282,0.431783,0.460130,0.218865,0.209336,0.000000,0.401900,0.401900,0.401900,0.401900,0.488811,0.401900,0.401900,0.416714,0.401900,0.401900,0.375179,0.393124,0.205102
M071,0.135328,0.293907,0.189538,0.224501,0.317771,0.348260,0.302284,0.405725,0.484643,0.336196,0.000000,0.390744,0.599434,0.517132,0.545503,0.328979,0.202500,0.212392,0.302880,0.409906,0.385031,0.218421,0.300282,0.309089,0.521435,0.290610,0.214384,0.243904,0.293111,0.333621,0.289240,0.338499,0.232021,0.000000,0.000000,0.354756,0.339463,0.140245,0.147880,0.211993,0.169418,0.156542,0.181612,0.405633,0.203042,0.259955,0.368165,0.445371,0.394354,0.401900,0.000000,0.000000,0.000000,0.000000,0.273589,0.000000,0.000000,0.255195,0.000000,0.000000,0.251240,0.255998,0.421598
M072,0.135328,0.293907,0.189538,0.224501,0.317771,0.348260,0.302284,0.405725,0.484643,0.336196,0.000000,0.390744,0.599434,0.517132,0.545503,0.328979,0.202500,0.212392,0.302880,0.409906,0.385031,0.218421,0.300282,0.309089,0.521435,0.290610,0.214384,0.243904,0.293111,0.333621,0.289240,0.338499,0.232021,0.000000,0.000000,0.354756,0.339463,0.140245,0.147880,0.211993,0.169418,0.156542,0.181612,0.405633,0.203042,0.259955,0.368165,0.445371,0.394354,0.401900,0.000000,0.000000,0.000000,0.000000,0.273589,0.000000,0.000000,0.255195,0.000000,0.000000,0.251240,0.255998,0.421598
M073,0.135328,0.293907,0.189538,0.224501,0.317771,0.348260,0.302284,0.405725,0.484643,0.336196,0.000000,0.390744,0.599434,0.517132,0.545503,0.328979,0.202500,0.212392,0.302880,0.409906,0.385031,0.218421,0.300282,0.309089,0.521435,0.290610,0.214384,0.243904,0.293111,0.333621,0.289240,0.338499,0.232021,0.000000,0.000000,0.354756,0.339463,0.140245,0.147880,0.211993,0.169418,0.156542,0.181612,0.405633,0.203042,0.259955,0.368165,0.445371,0.394354,0.401900,0.000000,0.000000,0.000000,0.000000,0.273589,0.000000,0.000000,0.255195,0.000000,0.000000,0.251240,0.255998,0.421598
M074,0.135328,0.293907,0.189538,0.224501,0.317771,0.348260,0.302284,0.405725,0.484643,0.336196,0.000000,0.390744,0.599434,0.517132,0.545503,0.328979,0.202500,0.212392,0.302880,0.409906,0.385031,0.218421,0.300282,0.309089,0.521435,0.290610,0.214384,0.243904,0.293111,0.333621,0.289240,0.338499,0.232021,0.000000,0.000000,0.354756,0.339463,0.140245,0.147880,0.211993,0.169418,0.156542,0.181612,0.405633,0.203042,0.259955,0.368165,0.445371,0.394354,0.401900,0.000000,0.000000,0.000000,0.000000,0.273589,0.000000,0.000000,0.255195,0.000000,0.000000,0.251240,0.255998,0.421598
M075,0.306838,0.282973,0.390136,0.405866,0.527389,0.434286,0.446479,0.468217,0.399092,0.457524,0.273589,0.434991,0.538222,0.453966,0.545525,0.377968,0.402558,0.405784,0.538388,0.528088,0.450506,0.269824,0.492042,0.385413,0.689180,0.482817,0.411775,0.393032,0.430594,0.511914,0.467721,0.499480,0.396085,0.273589,0.273589,0.275211,0.440779,0.296263,0.349232,0.304302,0.346210,0.303134,0.292131,0.469997,0.389398,0.454390,0.529691,0.561271,0.473707,0.488811,0.273589,0.273589,0.273589,0.273589,0.000000,0.273589,0.273589,0.413799,0.273589,0.273589,0.464904,0.393754,0.484085
M076,0.135328,0.293907,0.189538,0.224501,0.317771,0.348260,0.302284,0.405725,0.484643,0.336196,0.000000,0.390744,0.599434,0.517132,0.545503,0.328979,0.202500,0.212392,0.302880,0.409906,0.385031,0.218421,0.300282,0.309089,0.521435,0.290610,0.214384,0.243904,0.293111,0.333621,0.289240,0.338499,0.232021,0.000000,0.000000,0.354756,0.339463,0.140245,0.147880,0.211993,0.169418,0.156542,0.181612,0.405633,0.203042,0.259955,0.368165,0.445371,0.394354,0.401900,0.000000,0.000000,0.000000,0.000000,0.273589,0.000000,0.000000,0.255195,0.000000,0.000000,0.251240,0.255998,0.421598
