blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M029,0.374689,0.392510,0.391428,0.284226,0.320135,0.309735,0.315078,0.507629,0.413504,0.473070,0.413271,0.395217,0.620347,0.649441,0.354908,0.447072,0.412364,0.429765,0.349143,0.217807,0.000000,0.274504,0.510244,0.223709,0.104837,0.557688,0.376011,0.492436,0.502786,0.486623,0.269624,0.479364,0.261612,0.492387,0.479387,0.521527,0.442649,0.433121,0.496976,0.465322,0.568485,0.417854,0.412680,0.292571,0.204248,0.620798,0.605995,0.674309,0.634071,0.589386,0.334694,0.256934,0.298489,0.319303,0.145550,0.439789,0.403755,0.525841,0.285241,0.252114,0.603765,0.530837,0.674278
M030,0.238365,0.257148,0.303438,0.023405,0.081812,0.054749,0.051860,0.330872,0.297990,0.404090,0.286076,0.373336,0.482089,0.590640,0.230510,0.311431,0.363770,0.314909,0.193133,0.209529,0.274504,0.000000,0.537640,0.109458,0.244225,0.300533,0.244131,0.254778,0.243463,0.293752,0.358255,0.358134,0.345516,0.356231,0.343231,0.460902,0.328674,0.267650,0.416824,0.327384,0.434198,0.391510,0.265711,0.143198,0.147550,0.564953,0.532888,0.628036,0.517971,0.451455,0.268781,0.225265,0.219778,0.287634,0.277007,0.398032,0.262320,0.409876,0.159487,0.126360,0.527205,0.430539,0.564070
M031,0.477440,0.507546,0.438502,0.536928,0.570013,0.523256,0.523633,0.597334,0.541798,0.635871,0.533430,0.486502,0.863301,1.000000,0.535891,0.521100,0.491369,0.488954,0.467706,0.376707,0.510244,0.537640,0.000000,0.479417,0.411413,0.713211,0.480547,0.635871,0.707484,0.645611,0.263753,0.547097,0.458429,0.570317,0.557317,0.571945,0.518691,0.562240,0.555783,0.569310,0.429455,0.550173,0.580807,0.452937,0.416403,0.646051,0.631248,0.815140,0.755753,0.737461,0.517383,0.479844,0.474357,0.539210,0.553644,0.604107,0.523913,0.592173,0.453782,0.435671,0.629018,0.588071,0.780124
M032,0.247779,0.257827,0.301190,0.120759,0.106519,0.148500,0.134325,0.365912,0.289206,0.381658,0.302315,0.366828,0.544120,0.654603,0.217177,0.332218,0.370289,0.335697,0.207097,0.102710,0.223709,0.109458,0.479417,0.000000,0.155882,0.387492,0.251270,0.322240,0.334376,0.316428,0.272572,0.378921,0.314512,0.319684,0.311962,0.465855,0.341500,0.302248,0.436292,0.343622,0.452792,0.366803,0.321888,0.158699,0.127393,0.532955,0.500890,0.637587,0.548636,0.513792,0.285020,0.241504,0.236016,0.303873,0.255518,0.414270,0.278558,0.430664,0.175726,0.142598,0.500486,0.421282,0.578899
M033,0.302251,0.320073,0.318990,0.255527,0.262401,0.249047,0.232083,0.435191,0.341066,0.400632,0.340834,0.322779,0.621928,0.693741,0.282470,0.374634,0.350283,0.357328,0.276706,0.114471,0.104837,0.244225,0.411413,0.155882,0.000000,0.488821,0.303573,0.419998,0.451773,0.424898,0.185033,0.406926,0.214375,0.393557,0.380556,0.438532,0.370212,0.360683,0.424538,0.392884,0.496047,0.345416,0.375885,0.221390,0.137166,0.524136,0.509334,0.643235,0.574519,0.556226,0.276496,0.231539,0.226052,0.293908,0.198965,0.410070,0.331317,0.453404,0.212803,0.179676,0.507104,0.434175,0.614726
M034,0.276674,0.207327,0.332452,0.288642,0.352145,0.278813,0.275872,0.196276,0.188890,0.288173,0.225099,0.232566,0.521169,0.626035,0.209028,0.257912,0.308495,0.286906,0.245506,0.436869,0.557688,0.300533,0.713211,0.387492,0.488821,0.000000,0.244285,0.089023,0.077089,0.154437,0.592073,0.220403,0.553877,0.365513,0.352512,0.443520,0.232837,0.236216,0.397937,0.274199,0.371184,0.309088,0.243353,0.308209,0.353439,0.539841,0.496183,0.605790,0.495726,0.429301,0.389662,0.376150,0.407612,0.345143,0.513503,0.300832,0.262409,0.362614,0.293080,0.326207,0.490500,0.400658,0.541825
M035,0.042839,0.071078,0.089893,0.224238,0.325943,0.252611,0.245960,0.160098,0.079343,0.216196,0.074220,0.134970,0.483611,0.607820,0.094796,0.094794,0.119639,0.139255,0.052930,0.218936,0.376011,0.244131,0.480547,0.251270,0.303573,0.244285,0.000000,0.168524,0.238558,0.167991,0.401469,0.129377,0.368550,0.228831,0.215831,0.316809,0.090230,0.126008,0.270798,0.137929,0.247656,0.158480,0.159858,0.181278,0.186633,0.418927,0.386862,0.583670,0.473605,0.374995,0.207254,0.193742,0.225204,0.194406,0.331826,0.196263,0.092692,0.267104,0.110672,0.143799,0.381180,0.308681,0.519704
M036,0.200912,0.137946,0.255112,0.239434,0.311569,0.238237,0.224761,0.135454,0.142125,0.226463,0.168859,0.174747,0.508898,0.594425,0.137528,0.195588,0.238390,0.214593,0.171324,0.350744,0.492436,0.254778,0.635871,0.322240,0.419998,0.089023,0.168524,0.000000,0.080712,0.126502,0.517895,0.168696,0.467752,0.339306,0.326306,0.415734,0.179523,0.173652,0.370151,0.228498,0.323940,0.258431,0.180976,0.246940,0.288188,0.512056,0.465498,0.594420,0.484355,0.375612,0.305116,0.291604,0.323067,0.260597,0.448252,0.238586,0.203166,0.331930,0.208534,0.241661,0.459816,0.369973,0.530454
M037,0.270946,0.201599,0.326725,0.231572,0.286992,0.237419,0.245754,0.208657,0.195176,0.276815,0.231384,0.238852,0.489179,0.579134,0.179301,0.259693,0.302768,0.279458,0.239778,0.407716,0.502786,0.243463,0.707484,0.334376,0.451773,0.077089,0.238558,0.080712,0.000000,0.154696,0.555025,0.227970,0.524725,0.401832,0.388831,0.488938,0.243628,0.228556,0.440512,0.291636,0.378751,0.319378,0.217252,0.294736,0.319067,0.585259,0.531939,0.613336,0.503271,0.394800,0.360510,0.346998,0.378460,0.315991,0.458602,0.301112,0.265692,0.398370,0.263927,0.297055,0.526256,0.429590,0.549370
M038,0.202655,0.154254,0.225720,0.273858,0.375564,0.302232,0.308078,0.107697,0.112597,0.235305,0.157904,0.160595,0.491185,0.549349,0.145105,0.200441,0.226752,0.221960,0.193605,0.384000,0.486623,0.293752,0.645611,0.316428,0.424898,0.154437,0.167991,0.126502,0.154696,0.000000,0.529729,0.174928,0.533613,0.319341,0.306341,0.433744,0.162230,0.179368,0.370331,0.218807,0.305237,0.172846,0.177203,0.211261,0.287731,0.470117,0.432255,0.562342,0.482251,0.372035,0.345892,0.332380,0.363842,0.301373,0.442439,0.242284,0.195215,0.358635,0.249310,0.282437,0.426573,0.389854,0.498376
