catalogue_id,status,block,metric,n_models,blind_ids,near_duplicate_count,block_recurrence_count,metric_recurrence_count,source_type_recurrence_count,near_duplicate_ids
C1425,support_watch,values_disclosure,euclidean,10,M015;M034;M038;M040;M046;M047;M049;M050;M052;M078,3,1,1,1,C1425;C1691;C1802
C1426,support_watch,values_disclosure,euclidean,8,M045;M047;M049;M050;M059;M078;M082;M083,8,1,1,1,C1354;C1411;C1426;C1508;C1582;C1626;C1670;C1671
C1428,support_watch,values_owned,euclidean,10,M015;M022;M024;M043;M044;M056;M057;M078;M081;M082,7,1,1,1,C1414;C1428;C1536;C1584;C1628;C1662;C1776
C1429,support_watch,values_wishes,euclidean,10,M024;M034;M036;M047;M051;M052;M056;M057;M081;M082,4,1,1,1,C1274;C1429;C1431;C1499
C1430,support_watch,values_wishes,euclidean,7,M030;M035;M037;M038;M044;M050;M051,8,1,1,1,C0867;C1031;C1298;C1430;C1498;C1510;C1539;C1589
C1431,support_watch,values_wishes,euclidean,7,M034;M047;M051;M052;M056;M081;M082,6,1,1,1,C1274;C1429;C1431;C1499;C1520;C1617
C1432,support_watch,values_wishes,euclidean,3,M049;M052;M071,2,1,1,1,C1299;C1432
C1433,support_watch,values_wishes,euclidean,3,M053;M071;M073,2,1,1,1,C1037;C1433
C1434,support_watch,freeflow_form,euclidean,8,M002;M011;M016;M053;M056;M057;M081;M082,11,1,1,1,C1323;C1367;C1383;C1434;C1470;C1521;C1540;C1565;C1566;C1684;C1773
C1435,support_watch,freeflow_form,euclidean,3,M021;M033;M037,3,1,1,1,C1324;C1368;C1435
C1436,support_watch,posture,euclidean,3,M011;M012;M038,2,1,1,1,C1204;C1436
C1437,support_watch,posture,euclidean,8,M028;M033;M041;M055;M072;M073;M074;M080,5,1,1,1,C1063;C1123;C1347;C1437;C1750
C1438,support_watch,v1_markers,euclidean,3,M025;M050;M051,1,1,1,1,C1438
C1439,support_watch,values_disclosure,euclidean,10,M002;M015;M022;M025;M050;M052;M077;M079;M080;M083,2,1,1,1,C1439;C1768
C1440,support_watch,values_disclosure,euclidean,3,M011;M012;M022,2,1,1,1,C1315;C1440
C1441,support_watch,values_disclosure,euclidean,5,M015;M047;M050;M052;M053,5,1,1,1,C1222;C1291;C1441;C1493;C1627
C1442,support_watch,values_disclosure,euclidean,4,M049;M059;M082;M083,8,1,1,3,C1412;C1427;C1442;C1464;C1465;C1483;C1485;C1494
C1443,support_watch,values_owned,euclidean,10,M005;M007;M032;M034;M035;M036;M041;M053;M054;M055,5,1,1,1,C1443;C1560;C1597;C1598;C1648
C1444,support_watch,values_owned,euclidean,4,M032;M034;M035;M036,10,1,1,3,C1336;C1356;C1357;C1381;C1399;C1400;C1415;C1444;C1537;C1693
C1445,support_watch,values_owned,euclidean,9,M044;M047;M052;M053;M058;M059;M060;M082;M083,9,1,1,1,C1102;C1380;C1445;C1446;C1467;C1514;C1515;C1650;C1727
C1446,support_watch,values_owned,euclidean,8,M047;M052;M053;M058;M059;M060;M082;M083,9,1,1,1,C1102;C1380;C1445;C1446;C1447;C1448;C1467;C1514;C1650
C1452,support_watch,values_wishes,euclidean,3,M004;M044;M072,2,1,1,1,C1297;C1452
C1453,support_watch,values_wishes,euclidean,6,M030;M035;M037;M038;M076;M077,4,1,1,1,C1153;C1197;C1453;C1631
C1454,support_watch,freeflow_form,euclidean,9,M003;M004;M010;M035;M038;M039;M049;M050;M051,3,1,1,1,C1454;C1471;C1749
C1455,support_watch,freeflow_form,euclidean,10,M009;M012;M016;M032;M040;M053;M056;M057;M081;M082,9,1,1,1,C1157;C1455;C1469;C1470;C1472;C1541;C1567;C1578;C1801
C1456,support_watch,freeflow_form,euclidean,6,M009;M016;M053;M056;M057;M082,11,1,1,2,C0075;C0088;C0096;C0099;C1323;C1367;C1383;C1401;C1456;C1472;C1541
C1457,watchlist,freeflow_form,euclidean,3,M021;M037;M052,7,1,1,2,C1161;C1324;C1457;C1526;C1603;C1619;C1656
C1459,support_watch,v1_markers,euclidean,6,M030;M031;M032;M033;M034;M037,5,1,1,1,C0975;C1179;C1330;C1459;C1491
C1460,support_watch,v1_markers,euclidean,4,M035;M036;M038;M049,6,1,1,2,C1313;C1407;C1460;C1480;C1481;C1606
C1461,support_watch,values_cross_surface,euclidean,7,M002;M029;M030;M032;M033;M037;M038,5,1,1,1,C0985;C0986;C1217;C1461;C1702
C1462,support_watch,values_disclosure,euclidean,5,M011;M016;M022;M024;M052,6,1,1,1,C1290;C1408;C1462;C1594;C1690;C1725
C1463,support_watch,values_disclosure,euclidean,3,M015;M022;M052,3,1,1,1,C1008;C1263;C1463
C1466,support_watch,values_owned,euclidean,5,M003;M005;M015;M040;M044,3,1,1,1,C1146;C1293;C1466
C1467,support_watch,values_owned,euclidean,10,M025;M044;M047;M052;M053;M058;M059;M060;M082;M083,7,1,1,1,C1102;C1380;C1445;C1446;C1467;C1514;C1650
C1468,support_watch,values_wishes,euclidean,5,M004;M024;M025;M052;M071,4,1,1,1,C1152;C1196;C1468;C1561
C1469,support_watch,freeflow_form,euclidean,10,M002;M009;M012;M016;M032;M053;M056;M057;M081;M082,8,1,1,1,C1157;C1455;C1469;C1470;C1472;C1540;C1541;C1567
C1470,support_watch,freeflow_form,euclidean,9,M002;M009;M012;M016;M053;M056;M057;M081;M082,10,1,1,1,C1157;C1434;C1455;C1469;C1470;C1472;C1540;C1541;C1565;C1566
C1471,support_watch,freeflow_form,euclidean,10,M003;M004;M010;M035;M038;M039;M049;M050;M051;M083,4,1,1,1,C0113;C1454;C1471;C1749
C1472,support_watch,freeflow_form,euclidean,8,M009;M012;M016;M053;M056;M057;M081;M082,10,1,1,1,C1157;C1323;C1455;C1456;C1469;C1470;C1472;C1540;C1541;C1567
